ID,Gene,Variation,Class
127,SF3B1,h662r,9
721,ERBB2,s335c,2
728,ERBB2,k753m,4
2418,BRCA1,r1753t,4
560,SMAD3,y297a,1
878,PDGFRA,q579r,7
713,ERBB2,i767m,7
1941,CARD11,l225li,7
368,EPAS1,533_534del,2
1912,FOXP1,r514c,1
830,ERCC3,truncating mutations,1
1732,MSH2,q337*,4
1771,XPO1,c528s,6
42,DICER1,e1705k,4
639,CDKN1B,p133t,1
1872,MTOR,v2006i,7
776,ERBB3,v714m,5
1950,MEF2B,k4e,4
2326,JAK2,pcm1-jak2 fusion,7
529,TP53,p278r,4
3296,RET,y791f,7
1062,EWSR1,ewsr1-fli1 fusion,7
2764,BRAF,e275k,2
242,EGFR,r776h,7
1279,HRAS,g13d,2
1374,AKT2,fusions,2
1873,MTOR,a41p,3
1078,FOXA1,m253k,1
3237,NTRK3,cpeb1-ntrk3 fusion,7
2174,PTEN,r173c,4
506,TP53,h214q,1
733,ERBB2,v773a,2
1787,AR,a159t,1
169,EGFR,exon 19 deletion/insertion,7
2387,PTPN11,a72s,7
2609,BRCA1,i26n,6
495,TP53,t150i,1
916,PDGFRA,i843del,7
362,EPAS1,p531l,2
1915,SMO,v321m,7
839,ABL1,g250e,2
468,TP53,k291q,1
1243,YAP1,yap1-mamld1 fusion,2
2087,AGO2,r583a,1
168,EGFR,e746q,2
1186,PIK3CA,n345i,2
622,FBXW7,r479h,4
528,TP53,l145r,4
2518,BRCA1,m1775k,4
863,CEBPA,truncating mutations,1
1281,HRAS,a146t,7
1827,PPP2R1A,w257g,7
3235,NTRK3,btbd1-ntrk3 fusion,7
1934,CARD11,c49y,7
666,CDKN2A,d84y,4
2624,BRCA1,r1758g,6
1131,MET,h1094y,7
2192,PTEN,r130k,4
544,SMAD2,s276l,1
3143,KRAS,k5n,7
1550,ALK,g1269s,7
938,PDGFRB,fusions,2
1839,SETD2,deletion,4
932,PDGFRB,r987w,1
3008,KIT,exon 11 mutations,7
3129,KRAS,g60d,6
2830,BRCA2,l1019v,6
1123,MET,n375s,6
47,PTPRT,a707t,1
1278,HRAS,g12v,7
1304,MLH1,a111p,1
1841,SETD2,r1625c,4
2642,BRCA1,h1686q,4
1984,CTNNB1,n387k,7
1997,MAP2K1,f129l,7
1145,MET,y1230h,7
460,TP53,f341c,1
252,EGFR,r324l,7
1265,PIK3R1,r348*,4
2249,PTEN,d24y,4
1661,FLT3,r834q,7
2787,BRCA2,y3092c,6
2685,BRAF,t599_v600insv,7
153,EGFR,l858m,2
2984,KIT,k558delinsnp,7
1821,RHOA,e40l,2
2857,BRCA2,d935n,6
2972,KIT,n822h,7
2522,BRCA1,v1736g,1
1311,MLH1,v506a,6
228,EGFR,y801h,7
1979,CTNNB1,s45del,7
832,ERCC4,deletion,1
212,EGFR,l747_a750del,7
682,CDKN2A,h83n,4
1734,MSH2,d603n,4
1443,SPOP,e50k,4
2130,CCND1,p287t,7
726,ERBB2,g660d,7
22,CBL,g375p,4
2043,STAG2,truncating mutations,1
1669,FLT3,s451e,7
1910,SMARCB1,truncating mutations,1
1241,YAP1,fusions,2
1691,PMS2,e41a,4
2942,GNA11,q209l,7
1373,AKT2,g161v,9
346,CDH1,a634v,4
2807,BRCA2,q2858r,6
2479,BRCA1,c61g,4
1692,PMS2,r20q,4
3077,NOTCH1,h2428q,2
3218,NTRK1,fusions,2
1,CBL,w802*,2
2446,BRCA1,l246v,5
3097,NOTCH2,2010_2471trunc,2
1396,FGFR3,k650t,2
1430,FGFR3,g380r,7
1346,AKT1,v270a,7
943,PDGFRB,e1071w,1
1224,PIK3CB,fusions,2
2412,PTPRD,r1088c,1
2068,TET2,d1384v,6
2154,PTEN,d107y,4
2189,PTEN,n48k,4
2219,PTEN,l23f,4
779,ERBB3,q809r,7
907,PDGFRA,g853d,7
981,ETV6,r418g,4
2380,PTPN11,m504v,7
2527,BRCA1,h1402y,5
2648,BRCA1,c44f,4
3101,RAC1,c18y,7
361,EPAS1,534_536del,2
128,SF3B1,r625h,9
2849,BRCA2,h1966y,6
2988,KIT,m541l,2
1964,CTNNB1,d32a,7
2966,KIT,i563_l576del,2
1419,FGFR3,g375c,7
134,SF3B1,k666r,9
703,ERBB2,e812k,6
97,TGFBR2,r537p,2
313,ELF3,truncating mutations,1
3056,KIT,d816a,2
2226,PTEN,v343e,4
1601,VHL,y98n,1
301,TMPRSS2,tmprss2-etv5 fusion,2
2568,BRCA1,d1733g,5
1917,SMO,d473g,2
2090,KMT2B,truncating mutations,6
1122,MET,f1200i,7
1590,VHL,r64p,4
394,TP53,k120n,4
1725,APC,deletion,1
2529,BRCA1,q1756fs,4
2233,PTEN,g127e,4
1883,MTOR,q2223k,7
1353,AKT1,l78t,7
1332,MLH1,r659l,1
869,HLA-A,truncating mutations,1
702,ASXL1,deletion,1
1088,EZH2,amplification,7
418,TP53,r110l,1
862,ABL1,f359c,2
1372,AKT2,r368c,7
2212,PTEN,g251c,4
1067,EWSR1,ewsr1-wt1 fusion,7
3190,NRAS,q61r,7
365,EPAS1,a530t,2
1852,CTCF,r339w,9
629,FBXW7,deletion,1
2696,BRAF,v471f,7
1455,FGFR2,k659n,7
2269,PTEN,h93d,4
1518,ALK,i1171n,7
2335,JAK2,atf7ip-jak2 fusion,7
1040,TSC2,r1200w,4
2721,BRAF,t599dup,7
1172,PIK3CA,g106v,7
3286,RET,v804m,7
2884,BRCA2,h2074n,6
880,PDGFRA,r841k,7
80,CCND3,i290a,2
2563,BRCA1,t1700a,4
69,RHEB,y35h,7
775,ERBB3,p262h,7
3216,NTRK1,v710a,4
2472,BRCA1,l358r,5
3257,RET,ret-ccdc6 fusion,7
1050,TSC2,f615s,1
2464,BRCA1,s1101n,5
2936,BTK,c481s,7
2477,BRCA1,e23fs,4
2980,KIT,n655k,2
2957,GNAS,r201c,7
2844,BRCA2,s196n,1
2958,MGA,deletion,1
1704,PMS2,r315*,1
1515,ALK,a1200v,3
3053,KIT,r634w,7
1090,KLF4,k409q,2
565,SMAD3,e239a,4
2537,BRCA1,c24r,4
2741,BRAF,w531c,5
2455,BRCA1,h1746n,1
724,ERBB2,c334s,7
605,SMAD4,d351h,4
1349,AKT1,e49k,7
2316,JAK1,s729c,7
2210,PTEN,h93q,4
3236,NTRK3,fusions,2
1342,AKT1,q59e,3
1064,EWSR1,ewsr1-creb1 fusion,2
1879,MTOR,a1459p,7
2533,BRCA1,q1785h,5
1404,FGFR3,e627d,5
1796,AR,f876l,2
2372,PTPN11,e69k,2
650,CDKN2A,truncating mutations,1
2162,PTEN,l112p,4
1956,ATM,n2875k,4
283,NKX2-1,tra-nkx2-1 fusion,2
2010,MAP2K1,f53l,7
1460,FGFR2,g271e,1
2582,BRCA1,d1739y,1
652,CDKN2A,m53i,4
2184,PTEN,g129a,1
2497,BRCA1,g1706e,4
119,PBRM1,deletion,1
178,EGFR,p691s,2
535,SMAD2,p305l,1
1242,YAP1,amplification,7
1144,MET,h1106d,2
3251,CASP8,g325a,7
693,CDKN2A,v118d,4
2913,NFE2L2,t80a,7
3130,KRAS,t74p,7
579,SMAD4,d537y,4
2850,BRCA2,t630i,6
510,TP53,r273h,4
515,TP53,p151h,1
2574,BRCA1,l1764p,4
898,PDGFRA,k830r,3
1251,PIK3R1,i559_d560insdkrmns,4
2716,BRAF,v487_p492delinsa,2
654,CDKN2A,n71i,4
2612,BRCA1,h1862l,5
489,TP53,r280t,1
2793,BRCA2,c1265s,6
1422,FGFR3,y373c,7
1414,FGFR3,r669g,7
1739,MSH2,d603g,6
2320,JAK2,d544h,6
1696,PMS2,r421*,1
657,CDKN2A,r80p,1
401,TP53,e221q,6
67,RHEB,y35c,7
2007,MAP2K1,amplification,6
993,TSC1,l117p,4
2960,KIT,d816e,2
387,TP53,r175c,1
3284,RET,kif5b-ret fusion,7
1747,MSH2,q429*,4
1410,FGFR3,fgfr3 - baiap2l1 fusion,7
2788,BRCA2,i2675v,1
873,PDGFRA,r481g,5
883,PDGFRA,h570r,3
1933,SMO,e518a,6
2342,JAK2,c618r,7
2939,NFKBIA,s36y,2
3298,RUNX1,y113*,4
536,SMAD2,f346v,5
306,H3F3A,g35r,8
1492,FGFR2,e219k,1
1584,CARM1,s217c,1
1112,FANCA,y510c,4
2452,BRCA1,c39y,4
1009,IKZF1,deletion,4
1350,AKT1,e17k,7
1940,CARD11,d387v,2
2509,BRCA1,v271l,3
3066,NOTCH1,v1578del,2
2548,BRCA1,y1853*,4
2732,BRAF,i463s,5
90,TGFBR1,r487q,1
497,TP53,h233n,1
2240,PTEN,r173p,4
835,ERCC4,truncating mutations,1
2458,BRCA1,i21v,3
2011,MAP2K1,i111p,2
1163,ARID1B,truncating mutations,1
808,ERCC2,s746fs,1
734,ERBB2,e717k,6
1843,IGF1R,a1374v,2
677,CDKN2A,d108n,1
1316,MLH1,g67r,1
2621,BRCA1,r1699q,4
2256,PTEN,v343l,4
3037,KIT,p573_d579del,7
2185,PTEN,t167a,4
52,PTPRT,d927g,4
3108,DNMT3B,amplification,2
44,PTPRT,t1365m,4
2037,MAP2K2,n126d,7
2912,NFE2L2,e82g,7
802,ERBB4,e836k,7
2223,PTEN,k289e,4
1173,PIK3CA,d350g,7
382,TP53,q331r,1
3120,KRAS,g12f,2
3206,RB1,r661w,6
1031,TSC2,s1653p,4
1681,FLT3,y572c,7
391,TP53,p153h,1
2834,BRCA2,k2950n,5
116,KMT2D,truncating mutations,1
1463,FGFR2,e565g,7
167,EGFR,a864t,7
1252,PIK3R1,n564d,4
816,ERCC2,r592h,5
578,SMAD4,k507q,1
2599,BRCA1,m1689r,1
875,PDGFRA,p130s,5
1200,PIK3CA,h1047l,7
968,ESR1,a546d,7
908,PDGFRA,d842v,7
2639,BRCA1,v1653m,1
2048,SOS1,g434r,2
1663,FLT3,m664i,2
112,MSH6,e946*,4
390,TP53,y220s,4
2891,BRCA2,d1280v,6
971,ESR1,l536h,7
899,PDGFRA,d842_h845del,7
465,TP53,v143a,1
1848,PPP6C,r264c,4
798,ERBB4,e317k,7
2116,GATA3,r177pfs*126,4
747,ERBB2,g309a,7
2592,BRCA1,v1838e,1
948,PDGFRB,git2-pdgfrb fusion,2
1154,KMT2C,s3660l,5
1855,MTOR,p2273s,7
2691,BRAF,q201h,6
781,ERBB3,a232v,7
518,TP53,p151a,4
2146,PTCH1,truncating mutations,1
1161,FAT1,truncating mutations,1
2865,BRCA2,h1918y,6
1896,MTOR,l1460p,7
2064,SOX9,l142p,4
2457,BRCA1,h1746q,6
2353,AURKA,k162d,4
1851,CTCF,truncating mutations,1
765,ERBB2,y803n,6
2671,BRCA1,f1695l,5
628,FBXW7,r505l,4
2075,TET2,y1294a,6
493,TP53,r156c,1
1963,MAPK1,amplification,7
2560,BRCA1,m1411t,6
2650,BRCA1,q1756c,1
3148,KRAS,p34r,7
1876,MTOR,s2215t,3
3018,KIT,d737n,6
2559,BRCA1,m18t,4
2364,STK11,a205t,4
240,EGFR,e746_t751delinsva,7
3045,KIT,k550_w557del,7
2544,BRCA1,s1655f,4
2540,BRCA1,k65m,6
1591,VHL,y98h,1
2701,BRAF,r462e,2
3278,RET,a883f,7
2821,BRCA2,c1365y,6
1784,AR,p380r,6
2899,NF2,t352m,5
1081,EZH2,y646n,9
2718,BRAF,p61braf,7
246,EGFR,l838v,7
11,CBL,k382e,4
2553,BRCA1,d1778n,5
393,TP53,r337c,4
2595,BRCA1,g1738e,4
2058,MYC,amplification,7
2244,PTEN,i122l,4
3273,RET,y806c,2
1033,TSC2,s1653f,4
2996,KIT,t574_r588delinsl,2
2495,BRCA1,e1682v,5
2856,BRCA2,r2973c,5
1976,CTNNB1,h36p,7
2325,JAK2,y931c,6
923,PDGFRA,d842y,7
2238,PTEN,h61d,4
437,TP53,r290g,1
788,ERBB4,t244r,3
2638,BRCA1,r1726g,5
311,ELF3,s330a,5
1945,CARD11,e626k,7
1491,FGFR2,fgfr2-ccdc6 fusion,7
1030,TSC2,l830r,4
1476,FGFR2,l617f,7
317,ROS1,d2033n,2
701,CDKN2C,deletion,1
3090,NOTCH1,f1592s,7
350,CDH1,epigenetic silencing,1
2941,NFKBIA,s32i,7
235,EGFR,t790m,7
591,SMAD4,y513a,6
1547,ALK,l1196m,7
125,SF3B1,r625d,9
979,ETV1,fusions,2
1882,MTOR,f1888l,7
1361,AKT1,d325a,7
1572,ALK,r1275l,2
567,SMAD3,y384a,1
2615,BRCA1,t47d,5
630,FBXW7,i347m,5
978,ETV1,tmprss2-etv1 fusion,7
2489,BRCA1,g1706a,3
1886,MTOR,t1977s,3
785,ERBB4,r306s,7
2634,BRCA1,w1718l,1
642,CDKN2A,q50p,4
1343,AKT1,e40k,7
947,PDGFRB,cep85l-pdgfrb fusion,2
1300,MLH1,l550p,1
2917,NFE2L2,l30f,7
1101,BAP1,c91s,4
3240,DDR2,l239r,7
2805,BRCA2,e3002k,1
1141,MET,h1094r,7
915,PDGFRA,n848k,7
2872,BRCA2,l2865v,5
1369,AKT2,k181m,9
2678,BRCA1,d1778g,5
641,CDKN1B,truncating mutations,1
1557,ALK,e1210k,7
833,ERCC4,e875g,4
1262,PIK3R1,k459_s460delinsn,4
383,TP53,h115n,6
1874,MTOR,f1888v,3
1914,SMO,d384n,2
3319,RUNX1,r80c,4
1156,KMT2C,truncating mutations,1
2906,NF2,q538p,1
1757,IDH1,p33s,5
1779,CREBBP,truncating mutations,1
753,ERBB2,p780l,2
1713,POLE,f367s,4
850,ABL1,e255v,2
1561,ALK,r1192p,7
1183,PIK3CA,c420r,7
1091,RXRA,s247f,6
2804,BRCA2,r2659t,1
145,EGFR,k467t,2
711,ERBB2,l866m,7
602,SMAD4,e330k,4
216,EGFR,l861p,2
